position,location,job_type,salary,description,requirement,qualification
Permanent,"Toronto, ON",Senior Data Analyst,"$90,000.00 - $95,000.00 / Yr","A client of Robert Half is looking to hire a Sr. Data Analyst. To be successful in this role, you should be able to turn data into information, information into insight and insight into business decisions. Responsibilities include developing analysis and reporting capabilities and conducting full lifecycle analysis to include requirements, activities and design. You will also monitor performance and quality control plans to identify improvements.

Key responsibilities

- Design business analysis and data recording systems for use throughout the department

- Support other departments in reaching their goals through analysis

- Monitor data and call out any changes in business and financial trends

- Develop business reports that provide insight into key data points

- Maintain databases and perform updates as necessary for accuracy

- Regularly examine data reports to identify and resolve mistakes throughout

- Communicate findings of data analysis to managers, written and verbally

- Accurately analyze and collect data for various types of business reports","-Must be comfortable coming into the downtown Toronto office 3 days a week

- Minimum 5 years of experience as a financial or data analyst

-Must be proficient in MS Excel, SQL, and Python

- Data/Financial Modelling

- General knowledge of business operations, objectives, strategies, process and information flow

- Analytical skills that support the development of data-driven reports

- Must be skilled in critical thinking to help solve business problems and make decisions

- Must be able to effectively relate data to coworkers using verbal and written communication skills

- Experience creating pivot tables, graphs, and charts using data tools

- Demonstrated ability to manage time and prioritize projects to meet deadlines

- Knowledge of object-oriented programming and other data analysis programs

- Detail oriented, able to notice small details that could impact results

- Nice to have: Accounting designation",Specialization : Technology
Contract / Temporary,"Toronto, ON",Sr. Data Analyst,DOE,"Our client is looking for an Intermediate Business Systems Analyst to support data integration activities as part of the Pooling program. This is a 6 months contract to start with the chance of extension after.
This program was formed to create investment vehicles that facilitate centralized investment of private and alternative assets (Infrastructure, Credit, Private Equity, etc). The Data Management team is seeking such an individual to integrate core investment data from external systems into the Enterprise Data Management platform.

Requirements:
*5+ Years of Business Analysis Experience
*Data System Experience (Eagle PACE / Markit EDM / GoldenSource / Snowflake )
*Capital Market and Investment Management Data Exposure
*Proficiency in SQL","*sql
*data
*systems
*snowflake
*EDM
*eaglePACE
*goldensource
*dataintegration",Specialization : Technology
Contract / Temporary,"Calgary, AB",Business Analyst,DOE,"Do you enjoy looking at ERP systems and creating efficiencies? Do you have a strong technical accounting background and thrive on using analysis to solve issues? If so, this role could be for you!

Our Oil and Gas Client is looking for a Business Analyst to come in for a 3 - 6 month contract to assist with streamlining their ERP system to ensure that it is running as efficient as possible. This successful candidate will have a strong technical accounting background and have the experience to use their analytical skills to look at the system and processes, recognize and streamline them to ensure that they are functioning as efficient as possible. Ensuring that data is accurate along with fixing all issues in the system and reporting, are crucial to this role. Working with complicated data to simplify and streamline, along with a strong understanding of recoveries will be needed to support this initiative.","This successful candidate will have 5+ years as a Business Analyst, identifying changes that need to be made to ensure that the system and processes are as efficient as possible. They will have process documentation experience coupled with a strong ERP and technical accounting background. Great Plains experience will be an asset.

If you are available immediately with the requirements listed above, click the “Apply Now!” link. For assistance with applying, please call Robert Half at (403) 264-5301 quoting job reference number 05000-0012573406.
 Robert Half would like to take this opportunity to thank all applicants in advance for their expressed interest!
 The job you want is just an app away. Whether remote or on-site, search for a job you’ll love with the Robert Half app. Download on the App Store or get it on Google Play.",Specialization : Interim Project-Based Financial
Contract / Temporary,"Toronto, ON",Sr. Data Analyst,DOE,"Our client is looking for an Intermediate Business Systems Analyst to support data integration activities as part of the Pooling program. This is a 6 months contract to start with the chance of extension after.
This program was formed to create investment vehicles that facilitate centralized investment of private and alternative assets (Infrastructure, Credit, Private Equity, etc). The Data Management team is seeking such an individual to integrate core investment data from external systems into the Enterprise Data Management platform.

Requirements:
*5+ Years of Business Analysis Experience
*Data System Experience (Eagle PACE / Markit EDM / GoldenSource / Snowflake )
*Capital Market and Investment Management Data Exposure
*Proficiency in SQL","*sql
*data
*systems
*snowflake
*EDM
*eaglePACE
*goldensource
*dataintegration",Specialization : Technology
Contract / Temporary to Hire,"East York, ON",Business Analyst,DOE,"Are you a proficient problem-solver who is adept at creating action plans based on business needs? This Business Analyst will work with multiple business units to elicit, document, and analyze business and technical needs. To be successful in this role, you must have exceptional communication skills and a proven ability to communicate technical and business requirements alike.

Key responsibilities

- Checks that complex requirements are executable, testable, complete and not ambiguous

- Extracts and documents requirements through user stories, use cases, process flow diagrams, etc.

- Collaborates and builds trusted relationships with business units, development teams, and other stakeholders to gather, analyze and prioritize requests","- Bachelor's Degree in Computer Science, Management Information Systems, Business Administration or equivalent work experience

- Experience on a variety of simple to complex projects

- Proven ability to elicit and document requirements in a clear and concise manner

- Comfortable with Agile methodology

- 4+ years of business analysis experience

- Ability to communicate to all levels in an organization, strong problem-solving skills, adaptable, flexible, proactive and willing to take ownership

- Strong technical skills including Word, Excel, PowerPoint, Visio, Jira (or similar tool), and ability to write basic to moderately complex SQL queries",Specialization : Technology
Contract / Temporary,"Chilliwack, BC",Business Analyst,"$85,000.00 - $90,000.00 / Yr","This is a Chilliwack based company, that operate over North America. They are looking for a new Business Analyst. This position will be mostly remote, but they will be looking for a locally based candidate to attend 1-2 office meetings each month. The ideal candidate would have 5+ years worth of experience working within the business analyst capacity, ideally with some experience working on ERP based projects. The role has plenty of growth opportunity for the right person, and will report to one of the current IT Directors.
 This would be working on all aspects of their internal projects, but with a focus on an upcoming ERP implementation. The project has already kicked off, so they will be looking for somebody to join before their 'go-live' date in the next 1-2 months. The ideal candidate will have a diverse skillset in terms of looking after IT based projects. The ideal candidate will also have experience working with SQL Servers. The team is currently rapidly growing, so there is plenty of room for growth, providing you are able to hit the ground running! You will be ensuring that their IT needs are met whilst collaborating with internal and external stakeholders to ensure everything is completed in a timely manner.
 This is a full-time position that includes a competitive base salary, extended benefits, and paid vacation.
 [ HOW TO APPLY / INTERVIEW PROCESS ]
 If you're interested in pursuing this role, please contact me for an initial discussion. This is a chance for us to discuss specifics, such as the company name, the key hiring managers, and the more in-depth job requirements. This is also a great opportunity to talk about your overall career goals and preferences. We can even discuss other potential roles which may fit what you're looking for.","Here are some of the items that you'll bring to the table for this role:
[-] 5+ years experience in a similar Business Analyst role.
[-] Experience working with SQL Server
[-] Experience with Microsoft Power Platform (or other ERP system)
[-] Strong communication and professionalism when working with internal and external stakeholders
  [ VISA / RELOCATION SUPPORT ]
[-] Preference will be given to candidates who are currently in Vancouver with proper working permission to work in Canada
[-] No relocation or VISA sponsorship support will be offered for this role",Specialization : Technology
Permanent,"Toronto, ON",Business Analyst,"$85,000.00 - $95,000.00 / Yr","Are you a proficient problem-solver who is adept at creating action plans based on business needs? This Business Analyst will be responsible for the elicitation, analysis and documentation of business and technical needs across multiple business units. Exceptional communication skills and a proven ability to communicate technical and business requirements alike are keys to success for this Business Analyst role!

What you get to do every single day

- Verifies that complex requirements are executable, testable, and complete, rather than ambiguous
- Generate and record requirements through user stories, use cases, process flow diagrams, etc.
- Gather, analyze and prioritize requests by collaborating with business units, development teams, and other stakeholders","- Bachelor's Degree in Computer Science, Management Information Systems, Business Administration or equivalent work experience

- Strong ability to elicit and document requirements in a clear and concise manner

- 4+ years of business analysis experience; 2+ years in the capital markets industry

- Proactive, flexible, adaptable, willing to take ownership, and strong communication and problem-solving skills

- Knowledge of Agile methodology

- Strong technical skills including Word, Excel, PowerPoint, Visio, Jira (or similar tool), and ability to write basic to moderately complex SQL queries; CRM Implementations; Bloomberg and/or Dataphile experience would be an asset

- Background working with a variety of simple to complex projects",Specialization : Technology
Permanent,"Québec, QC",Conseiller en gestion,"$70,000.00 - $90,000.00 / Yr","Belle opportunité de poste de Conseiller en gestion ! Notre cliente, une firme de consultants spécialisés en gestion et en redressement financier auprès d'organismes, est actuellement à la recherche d'un conseiller en gestion. À titre de conseiller en gestion, vos tâches seront diversifiées. Votre rôle sera d'exercer un rôle conseil auprès des clients et effectuer les tâches en fonction des divers mandats qui vous seront confiés. Ainsi vous pourriez être appelé à:
Täches et responsabilités:
Préparer les états financiers à l'intention de la firme externe;
Faire l'analyse financière et tout le processus budgétaire de l'organisme;
Produire des rapports d'analyses financières, préparer des budgets et des rapports de suivi;
Établir des mesures de performance;
Faire le suivi des liquidités;
Mettre en place de nouveaux processus, de nouvelles procédures ou un nouveau système;
Produire des plans de formation et en assurer la mise en oeuvre;
Préparer des budgets prévisionnels, des plans de suivi et des plans d'affaires;
Préparer une demande de financement, demande de subventions, etc;","Qualifications:

Vous possédez un minimum de 5 ans ou plus d'expérience;
Baccalauréat en comptabilité, en finance ou en administration (ou formation équivalente);
Titre CPA-CMA (atout);
Excellente connaissance de la langue française (écrite);
Connaissance fonctionnelle de la langue anglaise (atout);
Vous avez un intérêt pour la formation;
Capacité à développer et établir un lien de confiance;
Capacité à travailler en équipe.
L'entreprise spécialisée en services conseils offre un environnement de travail collaboratif, un horaire flexible et possibilités de télétravail à 100% ou en mode hybride (2 à 3 jrs/sem). Vous serez appelé à effectuer des déplacements en région (1 sem à tous les 2 mois) pour divers mandats chez les clients.
Contactez-moi : Martine Laverdière par téléphone au (418) 425-2580",Specialization : Finance and Accounting
Permanent,"Toronto, ON",Business Analyst,"$85,000.00 - $95,000.00 / Yr","Are you a proficient problem-solver who is adept at creating action plans based on business needs? This Business Analyst will be responsible for the elicitation, analysis and documentation of business and technical needs across multiple business units. Exceptional communication skills and a proven ability to communicate technical and business requirements alike are keys to success for this Business Analyst role!

What you get to do every single day

- Verifies that complex requirements are executable, testable, and complete, rather than ambiguous
- Generate and record requirements through user stories, use cases, process flow diagrams, etc.
- Gather, analyze and prioritize requests by collaborating with business units, development teams, and other stakeholders","- Bachelor's Degree in Computer Science, Management Information Systems, Business Administration or equivalent work experience

- Strong ability to elicit and document requirements in a clear and concise manner

- 4+ years of business analysis experience; 2+ years in the capital markets industry

- Proactive, flexible, adaptable, willing to take ownership, and strong communication and problem-solving skills

- Knowledge of Agile methodology

- Strong technical skills including Word, Excel, PowerPoint, Visio, Jira (or similar tool), and ability to write basic to moderately complex SQL queries; CRM Implementations; Bloomberg and/or Dataphile experience would be an asset

- Background working with a variety of simple to complex projects",Specialization : Technology
Contract / Temporary,"Toronto, ON",Functional Analyst,DOE,"Our client is looking for a Workforce Dimension Consultant for a 1 year contract to start as soon as possible remotely but must be located in the GTA area.

Requirements: 

*Strong configuration experience with Workforce Dimension
*ITL Pro interface experience
*Create user guides, train, resolve issues
*Ability to simplify the workflows for the users 
*Experience with other applications such as SAP is an asset","*SAP
*kronos
*workforce
*consultant
*configure
*configuration
*training
*interface
*workflows",Specialization : Technology
